date,open,high,low,close,CJL,MC,PE,PB
2018/1/2,65.28,66.55,64.96,65.85,12714077,179648207001.75,42.9836,3.5781
2018/1/3,64.98,67.1,64.4,66.12,15190950,180384805572.60,43.1598,3.5928
2018/1/4,66,66.36,64.91,65.05,11841697,177465692717.75,42.4614,3.5346
2018/1/5,64.9,65.2,63.83,64.38,10487000,175637837004.90,42.024,3.4982
2018/1/8,64.6,66.34,64.53,65.21,13674015,177902195574.55,42.5658,3.5433
2018/1/9,65.2,66.18,64.7,65.42,9430926,178475105574.10,42.7029,3.5547
2018/1/10,65.6,65.97,64.88,65.67,9426504,179157141287.85,42.8661,3.5683
2018/1/11,65.98,65.98,64.88,65.4,7629868,178420542717.00,42.6898,3.5537
2018/1/12,65.66,67.85,65.62,67.08,19597880,183003822713.40,43.7864,3.6449
2018/1/15,67.25,68.1,64.88,65.14,15189034,177711225574.70,42.5201,3.5395
2018/1/16,64.5,65.75,64.46,64.8,9591973,176783657004.00,42.2982,3.5211
2018/1/17,64.68,64.68,62.51,63.75,11652506,173919107006.25,41.6128,3.464
2018/1/18,64.18,64.58,62.88,63.17,7370145,172336784150.35,41.2342,3.4325
2018/1/19,63.6,63.63,62.68,63.2,5237008,172418628436.00,41.2538,3.4341
2018/1/22,63.68,67.01,63.62,66.6,17265708,181694314143.00,43.4731,3.6189
2018/1/23,66.64,67.37,66.06,66.81,12351848,182267224142.55,43.6102,3.6303
2018/1/24,67.05,67.09,65.5,66.51,7641650,181448781286.05,43.4144,3.614
2018/1/25,66.52,67.47,65.56,65.64,8083989,179075297002.20,42.8465,3.5667
2018/1/26,65.64,66.3,65,65.5,6355866,178693357002.50,42.7551,3.5591
2018/1/29,65.88,65.88,62.8,62.9,12521938,171600185579.50,41.0579,3.4178
2018/1/30,62.88,63.95,62.76,63.45,5587707,173100664149.75,41.417,3.4477
2018/1/31,63.05,63.96,62.9,63.04,5429788,171982125579.20,41.1493,3.4254
2018/2/1,63.05,63.49,59.88,60.66,12698390,165489145584.30,39.5958,3.2961
2018/2/2,60.6,62.27,60.16,61.9,6972102,168872042724.50,40.4052,3.3635
2018/2/5,60.3,61.78,60.24,61.47,4061040,167698941296.85,40.1245,3.3401
2018/2/6,60,60.88,58.5,58.51,10398563,159623638446.05,38.1924,3.1793
2018/2/7,59.99,60.39,57.03,58.9,8208535,160687614159.50,38.447,3.2005
