date,open,high,low,close,CJL,PE,PB,MC
2019-01-02,36.45,36.45,35.7,35.8,"42,478,984",7.675,2.484,"21,536,316.54"
2019-01-03,35.8,36.19,35.75,35.92,"25,879,802",7.701,2.493,"21,608,505.31"
2019-01-04,35.72,36.7,35.56,36.65,"48,961,213",7.858,2.543,"22,047,653.67"
2019-01-07,36.88,36.96,36.25,36.48,"39,269,076",7.821,2.532,"21,945,386.24"
2019-01-08,36.41,36.42,36.03,36.34,"19,302,164",7.791,2.522,"21,861,166.01"
2019-01-09,37.2,38.06,37.07,37.51,"105,806,077",8.042,2.603,"22,565,006.52"
2019-01-10,37.38,37.93,37.29,37.76,"47,756,614",8.095,2.62,"22,715,399.80"
2019-01-11,37.96,37.96,37.39,37.73,"33,092,589",8.089,2.618,"22,697,352.60"
2019-01-14,37.77,37.97,37.54,37.68,"21,177,348",8.078,2.615,"22,667,273.95"
2019-01-15,37.84,38.88,37.71,38.78,"61,271,292",8.314,2.691,"23,329,004.34"
2019-01-16,38.8,39.5,38.65,39.31,"50,192,876",8.428,2.728,"23,647,838.08"
2019-01-17,38.1,38.88,37.84,38.66,"92,745,328",8.288,2.683,"23,256,815.57"
2019-01-18,38.68,39.15,38.43,38.97,"56,937,644",8.355,2.704,"23,443,303.23"
2019-01-21,39.03,40.15,38.85,39.48,"58,980,901",8.464,2.74,"23,750,105.51"
2019-01-22,39.47,39.47,38.67,38.91,"31,945,881",8.342,2.7,"23,407,208.85"
2019-01-23,38.72,39.46,38.48,39.19,"34,826,523",8.402,2.72,"23,575,649.31"
2019-01-24,39.46,39.5,39.0,39.38,"29,729,031",8.443,2.733,"23,689,948.20"
2019-01-25,39.56,40.1,39.23,39.9,"48,283,883",8.554,2.769,"24,002,766.20"
2019-01-28,40.1,41.29,40.05,40.29,"51,847,665",8.638,2.796,"24,237,379.71"
2019-01-29,40.25,41.17,40.12,41.1,"52,298,077",8.812,2.852,"24,724,653.91"
2019-01-30,40.83,41.05,40.44,40.7,"33,230,654",8.726,2.824,"24,484,024.67"
