date,open,high,low,close,CJL,PE,PB,MC
2018-01-02,69.42,69.85,68.2,68.67,"9,392,546",64.735,13.406,"19,343,535.82"
2018-01-03,68.69,70.0,68.6,68.83,"12,456,448",64.885,13.438,"19,388,605.95"
2018-01-04,69.12,70.69,68.83,70.57,"16,049,909",66.526,13.777,"19,878,743.60"
2018-01-05,71.55,71.78,69.88,70.32,"13,391,300",66.29,13.728,"19,808,321.52"
2018-01-08,70.41,71.35,69.9,71.26,"9,794,832",67.176,13.912,"20,073,108.53"
2018-01-09,71.69,75.19,71.07,74.7,"21,798,676",70.419,14.583,"21,042,116.29"
2018-01-10,74.6,75.66,74.0,74.9,"14,529,531",70.608,14.623,"21,098,453.95"
2018-01-11,74.6,75.18,73.77,74.27,"8,648,657",70.014,14.5,"20,920,990.32"
2018-01-12,74.27,75.0,73.96,74.61,"7,216,820",70.334,14.566,"21,016,764.35"
2018-01-15,74.4,76.0,73.61,74.49,"14,113,987",70.221,14.542,"20,982,961.75"
2018-01-16,74.19,76.99,73.86,75.1,"17,247,609",70.796,14.662,"21,154,791.62"
2018-01-17,75.59,75.67,73.24,73.54,"11,527,743",69.326,14.357,"20,715,357.86"
2018-01-18,73.7,74.97,71.93,72.8,"9,976,218",68.628,14.213,"20,621,677.72"
2018-01-19,72.88,74.77,72.05,74.36,"11,694,432",70.099,14.517,"21,063,570.81"
2018-01-22,74.36,76.48,74.19,76.39,"12,770,574",72.415,14.472,"21,638,598.36"
2018-01-23,76.3,77.98,75.51,76.69,"14,730,808",72.7,14.528,"21,723,577.80"
2018-01-24,76.83,78.4,76.32,78.07,"13,922,066",74.008,14.79,"22,114,483.23"
2018-01-25,78.68,78.75,75.47,76.06,"15,477,338",72.102,14.409,"21,545,120.98"
2018-01-26,76.08,77.76,75.75,77.15,"10,540,276",73.136,15.146,"21,853,879.61"
2018-01-29,77.51,78.0,72.9,73.24,"17,552,440",69.429,14.378,"20,746,314.23"
2018-01-30,73.24,74.82,73.05,74.1,"8,650,301",70.244,14.547,"20,989,921.96"
2018-01-31,73.99,75.9,73.9,75.69,"8,617,138",71.752,14.339,"21,440,313.00"
2018-02-01,76.19,76.9,73.2,74.23,"9,696,716",70.368,14.062,"21,026,746.39"
2018-02-02,74.81,75.99,73.71,74.28,"7,970,809",70.415,14.072,"21,040,909.63"
2018-02-05,73.45,73.66,71.7,73.37,"12,431,731",69.552,13.9,"20,783,138.65"
2018-02-06,71.49,71.49,67.18,69.01,"24,160,059",65.419,13.074,"19,548,104.11"
2018-02-07,71.08,71.2,67.08,67.69,"15,376,763",64.168,12.823,"19,174,194.57"
2018-02-08,67.97,69.89,67.78,69.11,"10,745,738",65.514,13.092,"19,576,430.59"
2018-02-09,66.7,68.87,66.12,67.56,"16,704,087",64.045,12.799,"19,137,370.14"
2018-02-12,67.89,71.4,67.85,70.97,"12,522,192",67.277,13.445,"20,103,303.13"
2018-02-13,71.57,72.99,70.97,71.23,"9,102,910",67.524,13.494,"20,176,951.97"
2018-02-14,71.7,72.42,71.3,71.93,"5,579,497",68.187,13.627,"20,375,237.34"
2018-02-22,72.0,73.18,70.97,72.47,"14,567,143",68.699,13.729,"20,528,200.33"
2018-02-23,72.98,74.88,72.43,73.28,"9,661,952",69.467,13.882,"20,757,644.82"
2018-02-26,73.5,75.0,72.55,74.76,"9,886,667",70.87,14.163,"21,176,876.73"
2018-02-27,75.02,75.5,73.61,73.67,"6,449,743",69.837,13.956,"20,868,118.10"
2018-02-28,73.5,74.3,72.37,72.48,"6,596,593",68.709,13.731,"20,531,032.98"
2018-03-01,72.3,74.28,72.2,74.19,"7,357,007",70.33,14.055,"21,015,415.79"
