date,open,high,low,close,CJL,MC,PE,PB
2018-01-02,6.21,6.35,6.2,6.28,132531238,466369923330.6,6.754,0.7794
2018-01-03,6.27,6.33,6.25,6.3,72983558,467855177863.5,6.7755,0.7819
2018-01-04,6.31,6.32,6.27,6.29,60992676,467112550597.05,6.7647,0.7806
2018-01-05,6.3,6.31,6.26,6.28,77008114,466369923330.6,6.754,0.7794
2018-01-08,6.29,6.32,6.28,6.31,72616429,468597805129.95,6.7863,0.7831
2018-01-09,6.31,6.32,6.27,6.28,56887449,466369923330.6,6.754,0.7794
2018-01-10,6.27,6.39,6.27,6.32,232440363,469340432396.4,6.797,0.7844
2018-01-11,6.34,6.38,6.33,6.35,110643183,471568314195.75,6.8293,0.7881
2018-01-12,6.35,6.39,6.35,6.37,98332802,473053568728.65,6.8508,0.7906
2018-01-15,6.38,6.5,6.37,6.48,245883740,481222468659.6,6.9691,0.8042
2018-01-16,6.45,6.53,6.43,6.52,211403554,484192977725.4,7.0121,0.8092
2018-01-17,6.54,6.71,6.53,6.55,312844740,486420859524.75,7.0444,0.8129
2018-01-18,6.58,6.66,6.49,6.63,516049363,492361877656.35,7.1304,0.8228
2018-01-19,6.7,6.84,6.68,6.75,648570084,501273404853.75,7.2595,0.8377
2018-01-22,6.71,6.87,6.62,6.67,459300606,495332386722.15,7.1734,0.8278
2018-01-23,6.68,6.99,6.66,6.98,556312581,518353831982.1,7.5068,0.8663
2018-01-24,7.05,7.12,6.91,7.04,480108877,522809595580.8,7.5714,0.8737
2018-01-25,6.99,7.03,6.88,6.99,274862062,519096459248.55,7.5176,0.8675
2018-01-26,6.96,7.1,6.94,7.02,316905127,521324341047.9,7.5498,0.8712
2018-01-29,7.01,7.1,6.87,6.92,318342457,513898068383.4,7.4423,0.8588
2018-01-30,6.89,6.92,6.72,6.74,261701728,500530777587.3,7.2487,0.8365
2018-01-31,6.72,6.82,6.71,6.78,220891689,503501286653.1,7.2917,0.8415
2018-02-01,6.79,6.89,6.73,6.88,402670997,510927559317.6,7.3993,0.8539
2018-02-02,6.83,6.85,6.75,6.84,163380195,507957050251.8,7.3563,0.8489
2018-02-05,6.77,7.2,6.75,7.18,403293687,533206377311.1,7.7219,0.8911
2018-02-06,7.06,7.23,6.98,7.18,573706812,533206377311.1,7.7219,0.8911
2018-02-07,7.18,7.45,7.0,7.17,548557929,532463750044.65,7.7112,0.8899
2018-02-08,7.04,7.06,6.74,6.88,373918550,510927559317.6,7.3993,0.8539
2018-02-09,6.71,6.75,6.36,6.7,496145510,497560268521.5,7.2057,0.8315
2018-02-12,6.6,6.63,6.5,6.53,197921579,484935604991.85,7.0229,0.8104
2018-02-13,6.58,6.68,6.55,6.56,192788801,487163486791.2,7.0551,0.8142
2018-02-14,6.58,6.58,6.49,6.55,98550254,486420859524.75,7.0444,0.8129
2018-02-22,6.66,6.68,6.6,6.64,179309019,493104504922.8,7.1412,0.8241
2018-02-23,6.64,6.71,6.61,6.68,188711855,496075013988.6,7.1842,0.829
2018-02-26,6.7,6.76,6.65,6.7,156824495,497560268521.5,7.2057,0.8315
2018-02-27,6.7,6.71,6.54,6.58,194510363,488648741324.1,7.0766,0.8166
2018-02-28,6.54,6.56,6.48,6.5,117997201,482707723192.5,6.9906,0.8067
2018-03-01,6.45,6.53,6.43,6.49,79178559,481965095926.05,6.9798,0.8055
2018-03-02,6.45,6.49,6.42,6.44,91125779,478251959593.8,6.9261,0.7993
2018-03-05,6.44,6.48,6.41,6.45,89072205,478994586860.25,6.9368,0.8005
2018-03-06,6.48,6.49,6.41,6.47,116217067,480479841393.15,6.9583,0.803
2018-03-07,6.49,6.56,6.46,6.47,143817556,480479841393.15,6.9583,0.803
2018-03-08,6.49,6.52,6.43,6.48,75559342,481222468659.6,6.9691,0.8042
2018-03-09,6.5,6.51,6.45,6.48,78253844,481222468659.6,6.9691,0.8042
2018-03-12,6.51,6.51,6.44,6.46,106084504,479737214126.7,6.9476,0.8017
2018-03-13,6.46,6.54,6.45,6.46,134136220,479737214126.7,6.9476,0.8017
2018-03-14,6.45,6.45,6.41,6.43,60954074,477509332327.35,6.9153,0.798
2018-03-15,6.41,6.45,6.41,6.44,49968458,478251959593.8,6.9261,0.7993
2018-03-16,6.43,6.44,6.37,6.38,76574988,473796195995.1,6.8615,0.7918
2018-03-19,6.36,6.39,6.34,6.38,53504100,473796195995.1,6.8615,0.7918
2018-03-20,6.35,6.41,6.35,6.39,54165986,474538823261.55,6.8723,0.7931
2018-03-21,6.4,6.44,6.37,6.39,66141739,474538823261.55,6.8723,0.7931
2018-03-22,6.39,6.41,6.36,6.39,70061981,474538823261.55,6.8723,0.7931
2018-03-23,6.29,6.33,6.2,6.32,213780018,469340432396.4,6.797,0.7844
2018-03-26,6.27,6.28,6.18,6.2,85791183,460428905199.0,6.668,0.7695
2018-03-27,6.25,6.27,6.18,6.2,89103669,460428905199.0,6.668,0.7695
2018-03-28,6.16,6.26,6.16,6.19,90072016,459686277932.55,6.6572,0.7682
2018-03-29,6.2,6.3,6.14,6.26,96402642,464884668797.7,6.7325,0.7769
2018-03-30,6.27,6.28,6.15,6.18,105894175,458943650666.1,6.5355,0.7508
2018-04-02,6.18,6.22,6.15,6.16,94753653,457458396133.2,6.5144,0.7484
2018-04-03,6.14,6.16,6.1,6.13,82760250,455230514333.85,6.4826,0.7447
2018-04-04,6.14,6.17,6.12,6.12,55431352,454487887067.4,6.4721,0.7435
2018-04-09,6.12,6.15,6.1,6.11,55435329,453745259800.95,6.4615,0.7423
2018-04-10,6.12,6.23,6.1,6.22,115193802,461914159731.9,6.5778,0.7557
2018-04-11,6.23,6.34,6.2,6.28,136795230,466369923330.6,6.6413,0.763
2018-04-12,6.26,6.31,6.21,6.22,71877184,461914159731.9,6.5778,0.7557
2018-04-13,6.25,6.27,6.19,6.19,54901436,459686277932.55,6.5461,0.752
2018-04-16,6.18,6.19,6.08,6.09,103036908,452260005268.05,6.4403,0.7399
2018-04-17,6.1,6.13,6.06,6.06,80372285,450032123468.7,6.4086,0.7362
2018-04-18,6.12,6.13,6.07,6.1,86528781,453002632534.5,6.4509,0.7411
2018-04-19,6.08,6.13,6.07,6.11,55252302,453745259800.95,6.4615,0.7423
2018-04-20,6.09,6.11,6.03,6.08,94190598,451517378001.6,6.4298,0.7387
2018-04-23,6.05,6.12,6.05,6.09,49124999,452260005268.05,6.4403,0.7399
2018-04-24,6.09,6.2,6.09,6.18,82582978,458943650666.1,6.5355,0.7508
2018-04-25,6.15,6.17,6.12,6.14,57528193,455973141600.3,6.4932,0.7459
2018-04-26,6.16,6.18,6.09,6.13,62078607,455230514333.85,6.4826,0.7447
2018-04-27,6.15,6.19,6.13,6.18,55487616,458943650666.1,6.5355,0.7508
2018-05-02,6.19,6.21,6.13,6.19,65789774,459686277932.55,6.4753,0.7618
