date,open,high,low,close,CJL,MC,PE,PB
2018-01-02,700.0,710.16,689.89,703.85,4961248,884174821530,36.4809,10.4814
2018-01-03,701.5,721.4,699.74,715.86,5201941,899261757108,37.1034,10.6603
2018-01-04,721.4,743.5,719.33,737.07,7220508,925905712446,38.2027,10.9761
2018-01-05,741.0,746.03,728.22,738.36,3998907,927526207608,38.2696,10.9954
2018-01-08,735.02,756.5,735.02,752.13,5220456,944824051314,38.9833,11.2004
2018-01-09,752.21,783.0,752.21,782.52,6459195,982999902456,40.5584,11.653
2018-01-10,785.0,788.88,773.48,785.71,4771424,987007173438,40.7238,11.7005
2018-01-11,787.0,788.0,772.0,774.81,5065607,973314617418,40.1588,11.5382
2018-01-12,773.77,788.8,767.02,788.42,4598824,990411469476,40.8642,11.7408
2018-01-15,793.46,799.06,779.02,785.37,5247313,986580066186,40.7062,11.6954
2018-01-16,780.48,788.61,768.0,772.94,6542833,970965527532,40.0619,11.5103
2018-01-17,770.0,774.0,738.51,747.93,9070954,939548020554,38.7656,11.1379
2018-01-18,747.93,765.0,744.09,750.74,5897851,943077936372,38.9113,11.1797
2018-01-19,752.9,758.9,739.02,750.18,5092556,942374465604,38.8822,11.1714
2018-01-22,751.81,774.0,751.81,773.64,6712675,971844865992,40.0982,11.5207
2018-01-23,777.81,780.0,768.6,773.78,4954918,972020733684,40.1054,11.5228
2018-01-24,776.44,776.46,758.6,764.46,4329881,960312970188,39.6224,11.384
2018-01-25,761.0,776.0,751.0,769.16,5004072,966217099848,39.866,11.454
2018-01-26,767.24,777.4,764.0,777.22,4397833,976342054116,40.2837,11.574
2018-01-29,778.76,779.67,735.0,736.32,7453551,924963564096,38.1639,10.965
2018-01-30,736.0,748.77,730.02,742.08,5191103,932199263424,38.4624,11.0508
2018-01-31,739.0,771.71,739.0,764.54,6040241,960413466012,39.6265,11.3852
2018-02-01,767.0,767.3,752.92,757.73,5058261,951858758994,39.2736,11.2838
2018-02-02,752.22,753.23,725.0,740.4,7542082,930088851120,38.3753,11.0257
2018-02-05,727.22,729.96,705.6,718.23,9899585,902238945894,37.2262,10.6956
2018-02-06,703.0,722.6,703.0,708.86,8816871,890468372508,36.7406,10.5561
2018-02-07,720.0,723.88,682.01,683.43,8828998,858523262454,35.4225,10.1774
2018-02-08,682.2,718.0,682.2,700.99,8340943,880582095822,36.3327,10.4389
2018-02-09,680.0,689.89,658.0,683.43,10557826,858523262454,35.4225,10.1774
2018-02-12,691.0,705.5,685.2,697.48,6417955,876172841544,36.1508,10.3866
2018-02-13,705.02,714.82,704.5,711.98,5338918,894387709644,36.9023,10.6025
2018-02-14,720.0,720.0,712.22,718.45,3065260,902515309410,37.2377,10.6989
2018-02-22,727.3,744.0,723.24,742.45,5076469,932664056610,38.4816,11.0563
2018-02-23,747.0,756.56,737.0,742.48,3815877,932701742544,38.4831,11.0567
2018-02-26,746.88,752.05,733.02,743.51,4365824,933995626278,38.5365,11.072
2018-02-27,749.0,756.0,737.22,737.98,4260154,927048852444,38.2499,10.9897
2018-02-28,732.0,742.3,719.0,725.62,4833067,911522247636,37.6093,10.8056
2018-03-01,728.0,746.85,723.77,741.97,4479465,932061081666,38.4567,11.0491
2018-03-02,738.0,743.56,730.0,736.41,2599190,925076621898,38.1685,10.9663
2018-03-05,738.18,742.0,717.03,720.11,3723470,904600597758,37.3237,10.7236
2018-03-06,725.0,727.6,697.13,718.26,6457036,902276631828,37.2278,10.696
2018-03-07,715.0,724.0,708.99,710.04,3459594,891950685912,36.8018,10.5736
2018-03-08,714.0,724.0,708.0,722.76,3534930,907929521928,37.461,10.763
2018-03-09,727.55,732.57,723.5,728.2,3017100,914763237960,37.743,10.8441
2018-03-12,729.55,733.92,722.77,723.95,3988841,909424397310,37.5227,10.7808
2018-03-13,723.0,726.6,710.0,710.35,3857709,892340107230,36.8178,10.5782
2018-03-14,709.67,728.08,707.22,726.88,3735576,913105056864,37.6746,10.8244
2018-03-15,728.02,747.0,728.02,746.47,5614879,937713971766,38.6899,11.1161
2018-03-16,747.6,753.98,738.88,739.85,3585552,929397942330,38.3468,11.0175
2018-03-19,743.97,753.99,739.0,753.48,3866658,946519918344,39.0533,11.2205
2018-03-20,750.0,752.0,740.0,747.73,2887720,939296780994,38.7553,11.1349
2018-03-21,750.11,753.11,740.0,742.0,2674271,932098767600,38.4583,11.0496
2018-03-22,744.0,748.0,724.01,726.08,3748697,912100098624,37.6331,10.8125
2018-03-23,701.0,723.49,700.08,711.06,5254677,893232007668,36.8546,10.5888
2018-03-26,708.0,715.06,701.88,713.49,4625611,896284568322,36.9806,10.625
2018-03-27,723.0,725.88,704.0,714.74,4754844,897854815572,37.0454,10.6436
2018-03-28,699.97,703.0,669.0,682.05,11353972,856789709490,31.64,9.3688
2018-03-29,682.2,697.85,658.41,689.1,7908196,865645903980,31.967,9.4656
2018-03-30,686.0,693.5,679.88,683.62,3654028,858761940036,31.7128,9.3904
2018-04-02,680.0,691.0,674.11,680.06,3203908,854289875868,31.5476,9.3415
2018-04-03,678.0,687.0,675.39,677.91,4023558,851589050598,31.4479,9.3119
2018-04-04,682.0,700.43,680.38,694.01,5689131,871813835178,32.1948,9.5331
2018-04-09,697.1,705.43,690.15,698.3,3083305,877202923740,32.3938,9.592
2018-04-10,704.8,708.5,698.46,708.02,3204325,889413166356,32.8447,9.7255
2018-04-11,710.0,714.78,703.02,705.36,2572318,886071680208,32.7213,9.689
2018-04-12,704.0,706.88,692.22,694.2,3071361,872052512760,32.2036,9.5357
2018-04-13,698.5,701.0,685.08,686.86,2754952,862832020908,31.8631,9.4349
2018-04-16,680.58,686.85,677.0,681.38,3293967,855948056964,31.6089,9.3596
2018-04-17,685.0,685.38,665.6,666.2,3517276,836878974360,30.9047,9.1511
2018-04-18,671.0,671.0,645.0,655.64,6261660,823613525592,30.4148,9.006
2018-04-19,659.85,680.0,656.66,679.96,4420757,854164256088,31.543,9.3401
2018-04-20,681.0,694.0,668.23,670.26,4151168,841979137428,31.093,9.2068
2018-04-23,666.01,680.33,666.01,674.01,3265920,846689879178,31.267,9.2583
2018-04-24,676.0,693.5,675.0,689.88,4728256,866625738264,32.0032,9.4763
2018-04-25,689.0,692.0,683.02,690.97,2525222,867994993866,32.0537,9.4913
2018-04-26,692.0,692.28,673.0,678.23,3504790,851991033894,31.4627,9.3163
2018-04-27,685.25,688.36,655.0,662.53,5791521,832268728434,30.7344,9.1007
2018-05-02,660.0,668.99,645.06,667.83,7025911,838926576774,28.4738,8.3928
2018-05-03,666.0,673.68,658.0,670.88,3632653,842757980064,28.6038,8.4311
2018-05-04,670.98,674.83,660.57,662.87,3737584,832695835686,28.2623,8.3305
2018-05-07,659.95,701.88,657.77,698.17,8559143,877039618026,29.7673,8.7741
2018-05-08,698.03,712.13,698.03,708.83,6249783,890430686574,30.2218,8.9081
2018-05-09,709.08,712.3,697.12,701.95,3233106,881788045710,29.9285,8.8216
2018-05-10,703.5,716.0,703.5,714.19,3929380,897163906782,30.4504,8.9754
2018-05-11,718.69,730.5,715.7,718.02,3914165,901975144356,30.6137,9.0235
2018-05-14,724.0,743.0,724.0,742.41,5101471,932613808698,31.6536,9.3301
2018-05-15,746.0,746.44,734.0,743.06,3805580,933430337268,31.6813,9.3382
2018-05-16,740.0,745.66,733.28,734.52,3079520,922702408056,31.3172,9.2309
2018-05-17,735.12,737.5,724.0,727.38,2851793,913733155764,31.0127,9.1412
2018-05-18,723.99,741.0,721.19,739.32,2925517,928732157496,31.5218,9.2912
2018-05-21,744.0,747.3,732.48,734.82,2905958,923079267396,31.33,9.2347
2018-05-22,735.22,739.84,730.02,739.57,1699896,929046206946,31.5325,9.2944
2018-05-23,740.0,740.0,723.58,723.78,2826871,909210843684,30.8593,9.0959
2018-05-24,720.0,728.66,713.0,715.4,3041634,898683906120,30.502,8.9906
2018-05-25,712.0,727.0,712.0,716.86,2651146,900517954908,30.5642,9.009
2018-05-28,718.0,740.66,715.12,740.4,4280523,930088851120,31.5679,9.3048
2018-05-29,738.8,750.0,731.28,731.43,4082027,918820756854,31.1854,9.1921
2018-05-30,727.22,737.3,720.05,725.87,3714710,911836297086,30.9484,9.1222
2018-05-31,730.25,751.62,730.24,751.13,7185287,943567853514,32.0254,9.4396
2018-06-01,751.13,754.98,738.76,745.11,3617763,936005542758,31.7687,9.364
2018-06-04,752.35,782.9,745.88,781.97,7380597,982308993666,33.3403,9.8272
2018-06-05,786.5,794.7,777.23,788.05,5262967,989946676290,33.5995,9.9036
