date,open,high,low,close,CJL,PE,PB,MC
2018-01-02,49.98,50.19,49.03,49.31,"4,471,440",27.603,9.074,"2,650,905.60"
2018-01-03,49.39,50.24,49.2,50.09,"5,131,341",28.04,9.218,"2,692,838.40"
2018-01-04,50.08,50.08,49.61,49.89,"3,471,253",27.928,9.181,"2,682,086.40"
2018-01-05,49.88,51.82,49.83,51.24,"10,485,685",28.684,9.429,"2,754,662.40"
2018-01-08,50.9,53.28,50.3,52.05,"7,543,377",29.137,9.578,"2,798,208.00"
2018-01-09,51.9,51.9,51.14,51.36,"3,944,887",28.751,9.451,"2,761,113.60"
2018-01-10,51.49,52.8,51.22,51.69,"5,072,410",28.935,9.512,"2,778,854.40"
2018-01-11,51.58,54.09,50.9,53.58,"10,150,453",29.993,9.86,"2,880,460.80"
2018-01-12,53.0,53.2,52.03,52.14,"5,848,246",29.187,9.595,"2,803,046.40"
2018-01-15,51.75,51.91,49.5,49.9,"6,369,431",27.933,9.183,"2,682,624.00"
2018-01-16,49.9,50.28,49.8,50.25,"3,207,075",28.129,9.247,"2,701,440.00"
2018-01-17,50.26,53.1,50.02,51.74,"8,611,419",28.963,9.521,"2,781,542.40"
2018-01-18,51.3,52.73,51.11,51.44,"4,635,699",28.796,9.466,"2,765,414.40"
2018-01-19,51.5,53.86,51.4,52.87,"11,501,350",29.596,9.729,"2,842,291.20"
2018-01-22,52.54,58.16,52.54,58.16,"24,936,373",32.557,10.703,"3,126,681.60"
2018-01-23,57.01,58.49,56.49,58.27,"16,962,338",32.619,10.723,"3,132,595.20"
2018-01-24,58.56,64.0,58.2,62.13,"28,979,847",34.78,11.433,"3,340,108.80"
2018-01-25,61.0,63.9,60.38,60.46,"22,163,858",33.845,11.126,"3,250,329.60"
2018-01-26,60.63,61.98,60.0,60.89,"10,461,299",34.086,11.205,"3,273,446.40"
2018-01-29,60.9,61.45,59.2,61.0,"11,245,126",34.147,11.225,"3,279,360.00"
2018-01-30,60.99,62.22,59.9,60.68,"8,912,261",33.968,11.166,"3,262,156.80"
2018-01-31,59.0,59.0,54.62,54.73,"16,232,724",30.637,10.071,"2,942,284.80"
2018-02-01,55.44,56.33,53.64,55.01,"12,783,586",30.794,10.123,"2,957,337.60"
2018-02-02,54.25,57.28,54.25,55.67,"11,132,354",31.163,10.244,"2,992,819.20"
2018-02-05,54.0,55.6,53.86,54.81,"7,606,090",30.682,10.086,"2,946,585.60"
2018-02-06,52.9,54.6,50.16,50.8,"11,509,520",28.437,9.348,"2,731,008.00"
2018-02-07,52.32,53.95,50.5,52.42,"11,155,741",29.344,9.646,"2,818,099.20"
2018-02-08,48.0,49.9,47.66,48.73,"16,847,082",27.278,8.967,"2,619,724.80"
2018-02-09,47.64,47.64,44.71,45.55,"14,363,251",25.498,8.382,"2,448,768.00"
2018-02-12,45.56,47.21,44.95,46.38,"6,807,854",25.963,8.535,"2,493,388.80"
2018-02-13,46.79,47.3,46.0,46.11,"5,379,055",25.812,8.485,"2,478,873.60"
2018-02-14,45.81,46.43,45.7,46.14,"3,651,433",25.829,8.491,"2,480,486.40"
2018-02-22,46.95,48.4,46.26,47.85,"5,900,000",35.579,8.124,"2,572,416.00"
2018-02-23,47.8,48.27,47.08,47.6,"4,195,501",35.393,8.081,"2,558,976.00"
2018-02-26,48.21,50.18,48.0,49.9,"7,619,077",37.103,8.472,"2,682,624.00"
2018-02-27,50.0,50.4,48.82,49.4,"6,814,951",36.731,8.387,"2,655,744.00"
2018-02-28,47.65,49.67,47.1,48.51,"6,462,319",35.939,8.229,"2,607,897.60"
2018-03-01,48.48,50.94,48.1,50.8,"8,873,400",37.635,8.617,"2,731,008.00"
2018-03-02,50.3,51.5,49.8,49.97,"6,961,655",37.02,8.477,"2,686,387.20"
2018-03-05,50.2,51.4,49.82,51.36,"6,513,370",38.05,8.712,"2,761,113.60"
2018-03-06,51.4,52.3,51.01,51.46,"7,026,369",38.124,8.729,"2,766,489.60"
2018-03-07,51.2,51.5,50.64,50.64,"3,961,848",37.517,8.59,"2,722,406.40"
2018-03-08,50.24,51.06,50.05,50.3,"3,213,633",37.265,8.533,"2,704,128.00"
2018-03-09,50.13,53.16,50.13,53.09,"10,943,730",39.332,9.006,"2,854,118.40"
2018-03-12,53.56,54.59,52.56,53.27,"9,707,780",39.465,9.036,"2,863,795.20"
2018-03-13,53.08,54.3,52.3,52.87,"6,769,474",39.169,8.969,"2,842,291.20"
2018-03-14,52.18,53.29,52.1,52.4,"5,257,972",38.82,8.889,"2,817,024.00"
2018-03-15,52.2,52.61,50.66,52.57,"6,454,733",38.946,8.918,"2,826,163.20"
2018-03-16,52.45,53.83,51.31,51.36,"6,746,069",38.05,8.712,"2,761,113.60"
2018-03-19,51.21,52.79,50.7,51.55,"5,330,697",38.191,8.745,"2,771,328.00"
2018-03-20,50.79,51.85,50.55,51.51,"3,678,464",38.161,8.738,"2,769,177.60"
2018-03-21,51.55,52.66,50.65,50.81,"5,321,509",37.643,8.619,"2,731,545.60"
2018-03-22,50.9,51.46,50.15,50.19,"4,312,289",37.183,8.514,"2,698,214.40"
2018-03-23,48.2,48.93,46.1,46.9,"7,526,138",34.746,7.956,"2,521,344.00"
2018-03-26,46.0,48.69,45.8,48.61,"5,097,749",36.013,8.246,"2,613,273.60"
2018-03-27,49.58,51.32,49.1,50.58,"7,561,811",37.472,8.58,"2,719,180.80"
2018-03-28,49.9,50.75,49.58,50.06,"5,458,182",37.087,8.492,"2,691,225.60"
2018-03-29,50.45,51.69,50.32,51.18,"6,731,640",37.917,8.682,"2,751,436.80"
2018-03-30,50.8,52.2,50.28,51.9,"8,131,891",38.45,10.39,"2,790,144.00"
2018-04-02,52.18,53.49,51.9,53.15,"11,584,611",39.376,10.641,"2,857,344.00"
2018-04-03,52.1,52.4,50.88,51.61,"6,662,410",38.235,10.332,"2,774,553.60"
2018-04-04,51.97,52.18,50.33,50.69,"5,194,419",37.554,10.148,"2,725,094.40"
2018-04-09,50.2,51.33,49.34,50.5,"4,698,271",37.413,10.11,"2,714,880.00"
2018-04-10,50.75,51.1,49.52,50.18,"4,462,997",37.176,10.046,"2,697,676.80"
2018-04-11,50.5,50.98,49.9,50.14,"3,823,477",37.146,10.038,"2,695,526.40"
2018-04-12,49.77,50.39,49.5,49.63,"3,070,580",36.768,9.936,"2,668,108.80"
2018-04-13,50.17,50.63,49.58,49.62,"4,071,496",36.761,9.934,"2,667,571.20"
2018-04-16,49.1,50.73,49.1,50.16,"4,670,087",37.161,10.042,"2,696,601.60"
2018-04-17,50.13,50.5,47.11,47.5,"7,319,926",35.19,9.51,"2,553,600.00"
2018-04-18,47.99,49.67,47.1,49.25,"5,089,049",36.487,9.86,"2,647,680.00"
2018-04-19,49.15,49.5,48.65,48.68,"3,266,879",36.065,9.746,"2,617,036.80"
2018-04-20,48.25,48.9,47.62,47.78,"2,727,110",35.398,9.566,"2,568,652.80"
2018-04-23,47.79,48.5,47.11,47.89,"2,493,449",35.479,9.588,"2,574,566.40"
2018-04-24,48.12,49.56,47.68,49.39,"4,438,088",36.591,9.888,"2,655,206.40"
2018-04-25,48.8,50.4,48.67,50.02,"5,832,638",37.057,10.014,"2,689,075.20"
2018-04-26,49.6,50.18,48.51,48.62,"3,670,781",37.411,9.522,"2,613,811.20"
2018-04-27,49.0,49.33,48.05,48.73,"3,377,007",37.496,9.543,"2,619,724.80"
2018-05-02,48.98,49.29,47.88,48.28,"3,140,321",37.15,9.455,"2,595,532.80"
2018-05-03,47.8,49.64,47.2,49.26,"4,589,901",37.904,9.647,"2,648,217.60"
2018-05-04,48.95,48.95,47.83,48.05,"4,171,373",36.973,9.41,"2,583,168.00"
2018-05-07,47.85,48.73,47.85,48.49,"4,029,202",37.311,9.496,"2,606,822.40"
2018-05-08,48.52,49.51,48.18,49.03,"4,342,001",37.727,9.602,"2,635,852.80"
2018-05-09,49.0,49.21,48.7,49.11,"2,348,630",37.789,9.618,"2,640,153.60"
2018-05-10,49.21,50.2,49.1,49.53,"5,435,252",38.112,9.7,"2,662,732.80"
2018-05-11,49.7,49.85,48.18,48.38,"3,811,436",37.227,9.475,"2,600,908.80"
2018-05-14,48.55,48.74,48.1,48.2,"2,670,975",37.088,9.439,"2,591,232.00"
2018-05-15,48.25,48.69,47.8,48.63,"3,030,041",37.419,9.524,"2,614,348.80"
2018-05-16,48.46,48.62,47.85,47.9,"2,630,638",36.857,9.381,"2,575,104.00"
2018-05-17,47.99,48.4,47.7,47.76,"2,218,826",36.75,9.353,"2,567,577.60"
2018-05-18,47.51,48.35,47.51,48.2,"2,128,665",37.088,9.439,"2,591,232.00"
2018-05-21,48.6,49.0,48.26,48.65,"3,473,155",37.435,9.528,"2,615,424.00"
2018-05-22,48.6,48.78,48.15,48.32,"2,111,595",37.181,9.463,"2,597,683.20"
2018-05-23,48.33,48.38,47.6,47.63,"2,943,410",36.65,9.328,"2,560,588.80"
2018-05-24,47.7,47.99,47.52,47.59,"1,708,904",36.619,9.32,"2,558,438.40"
2018-05-25,47.59,47.82,47.05,47.19,"2,316,758",36.311,9.242,"2,536,934.40"
2018-05-28,47.45,47.45,46.65,46.82,"1,948,164",36.026,9.169,"2,517,043.20"
2018-05-29,46.85,47.31,46.5,46.74,"1,598,213",35.965,9.154,"2,512,742.40"
2018-05-30,46.0,46.41,45.23,45.7,"2,946,910",35.165,8.95,"2,456,832.00"
2018-05-31,45.81,46.33,45.61,45.87,"2,188,680",35.295,8.983,"2,465,971.20"
2018-06-01,45.87,46.09,45.51,45.96,"1,930,555",35.365,9.001,"2,470,809.60"
2018-06-04,46.04,46.18,45.6,45.67,"1,818,153",35.142,8.944,"2,455,219.20"
2018-06-05,45.77,46.28,45.77,46.18,"2,073,348",35.534,9.044,"2,482,636.80"
2018-06-06,46.18,46.18,45.82,45.9,"1,521,129",35.319,8.989,"2,467,584.00"
2018-06-07,46.26,46.26,45.6,45.66,"1,678,261",35.134,8.942,"2,454,681.60"
2018-06-08,45.5,45.5,44.18,44.42,"3,307,691",34.18,8.699,"2,388,019.20"
2018-06-11,44.41,44.41,43.51,43.99,"1,883,465",33.849,8.615,"2,364,902.40"
2018-06-12,43.88,44.78,43.88,44.61,"1,997,880",34.326,8.736,"2,398,233.60"
2018-06-13,44.61,44.79,43.77,43.81,"1,694,230",33.71,8.58,"2,355,225.60"
2018-06-14,43.6,44.27,43.6,43.87,"1,579,383",33.757,8.591,"2,358,451.20"
2018-06-15,43.89,44.0,42.88,42.92,"2,621,109",33.026,8.405,"2,307,379.20"
2018-06-19,42.8,42.81,38.63,38.63,"5,392,203",29.725,7.565,"2,076,748.80"
2018-06-20,38.6,39.29,38.18,38.66,"4,518,586",29.748,7.571,"2,078,361.60"
2018-06-21,38.43,38.75,35.52,35.73,"4,301,301",27.493,6.997,"1,920,844.80"
2018-06-22,35.5,36.8,35.41,36.48,"3,200,511",28.07,7.144,"1,961,164.80"
