date,PE,PB,PS,open,high,low,close
2018/1/2 8:00,42.983,3.578,1.717,65.28,66.55,64.96,65.85
2018/1/3 8:00,43.16,3.593,1.724,64.98,67.1,64.4,66.12
2018/1/4 8:00,42.461,3.535,1.697,66,66.36,64.91,65.05
2018/1/5 8:00,42.024,3.498,1.679,64.9,65.2,63.83,64.38
2018/1/8 8:00,42.566,3.543,1.701,64.6,66.34,64.53,65.21
2018/1/9 8:00,42.703,3.555,1.706,65.2,66.18,64.7,65.42
2018/1/10 8:00,42.866,3.568,1.713,65.6,65.97,64.88,65.67
2018/1/11 8:00,42.69,3.554,1.706,65.98,65.98,64.88,65.4
2018/1/12 8:00,43.786,3.645,1.749,65.66,67.85,65.62,67.08
2018/1/15 8:00,42.52,3.54,1.699,67.25,68.1,64.88,65.14
2018/1/16 8:00,42.298,3.521,1.69,64.5,65.75,64.46,64.8
2018/1/17 8:00,41.613,3.464,1.663,64.68,64.68,62.51,63.75
2018/1/18 8:00,41.234,3.432,1.647,64.18,64.58,62.88,63.17
2018/1/19 8:00,41.254,3.434,1.648,63.6,63.63,62.68,63.2
2018/1/22 8:00,43.473,3.619,1.737,63.68,67.01,63.62,66.6
2018/1/23 8:00,43.61,3.63,1.742,66.64,67.37,66.06,66.81
2018/1/24 8:00,43.414,3.614,1.735,67.05,67.09,65.5,66.51
2018/1/25 8:00,42.846,3.567,1.712,66.52,67.47,65.56,65.64
2018/1/26 8:00,42.755,3.559,1.708,65.64,66.3,65,65.5
2018/1/29 8:00,41.058,3.418,1.64,65.88,65.88,62.8,62.9
2018/1/30 8:00,41.417,3.448,1.655,62.88,63.95,62.76,63.45
2018/1/31 8:00,41.149,3.425,1.644,63.05,63.96,62.9,63.04
2018/2/1 8:00,39.596,3.296,1.582,63.05,63.49,59.88,60.66
2018/2/2 8:00,40.405,3.363,1.614,60.6,62.27,60.16,61.9
2018/2/5 8:00,40.124,3.34,1.603,60.3,61.78,60.24,61.47
2018/2/6 8:00,38.192,3.179,1.526,60,60.88,58.5,58.51
2018/2/7 8:00,38.447,3.2,1.536,59.99,60.39,57.03,58.9
2018/2/8 8:00,38.845,3.234,1.552,58.9,59.88,58.51,59.51
2018/2/9 8:00,36.978,3.078,1.477,57.9,58.45,56.33,56.65
2018/2/12 8:00,38.917,3.24,1.555,57.1,60,57.1,59.62
2018/2/13 8:00,38.838,3.233,1.552,60,60.62,59.31,59.5
2018/2/14 8:00,39.491,3.287,1.578,61.18,61.5,60.2,60.5
2018/2/22 8:00,40.679,3.386,1.625,61.98,63.35,61.3,62.32
2018/2/23 8:00,40.993,3.412,1.638,62.34,63.32,61.81,62.8
2018/2/26 8:00,42.37,3.527,1.693,63.88,65.69,63.88,64.91
2018/2/27 8:00,42.673,3.388,1.635,64.5,64.93,63.38,63.46
2018/2/28 8:00,42.707,3.391,1.636,63.22,64.5,62.67,63.51
2018/3/1 8:00,42.545,3.378,1.63,62.95,63.44,62.5,63.27
2018/3/2 8:00,42.276,3.357,1.62,62.51,63.36,62.37,62.87
2018/3/5 8:00,43.789,3.477,1.678,63,65.9,62.91,65.12
2018/3/6 8:00,44.771,3.555,1.715,65.13,66.8,64.8,66.58
2018/3/7 8:00,43.393,3.446,1.662,66,66.49,64.5,64.53
