date,open,high,low,close,PE,PB,PS
2018-01-02,44.20,45.20,44.18,45.15,13.821,4.633,1.810
2018-01-03,45.30,46.46,45.20,45.65,13.974,4.684,1.831
2018-01-04,46.00,46.58,45.73,46.58,14.258,4.780,1.868
2018-01-05,46.80,47.95,46.31,47.88,14.656,4.913,1.920
2018-01-08,48.17,48.95,47.30,47.83,14.641,4.908,1.918
2018-01-09,47.72,49.48,47.59,49.40,15.122,5.069,1.981
2018-01-10,49.30,51.96,48.97,51.05,15.627,5.239,2.047
2018-01-11,50.81,52.11,50.22,50.80,15.550,5.213,2.037
2018-01-12,50.80,53.48,50.24,53.30,16.315,5.469,2.137
2018-01-15,53.19,55.15,52.99,54.60,16.713,5.603,2.189
2018-01-16,54.10,55.48,53.41,54.37,16.643,5.579,2.180
2018-01-17,53.98,54.96,51.65,52.04,15.930,5.340,2.087
2018-01-18,51.70,53.09,51.60,52.26,15.997,5.363,2.096
2018-01-19,52.09,52.76,51.13,51.45,15.749,5.280,2.063
2018-01-22,51.50,56.60,51.50,56.60,17.325,5.808,2.270
2018-01-23,56.50,56.90,55.45,56.79,17.384,5.828,2.277
2018-01-24,56.70,56.72,55.18,55.77,17.071,5.723,2.236
2018-01-25,55.45,56.37,54.30,55.40,16.958,5.685,2.222
2018-01-26,55.01,58.70,54.77,57.40,17.570,5.890,2.302
2018-01-29,57.00,58.07,55.00,55.78,17.074,5.724,2.237
2018-01-30,55.34,55.50,54.25,54.35,16.637,5.577,2.179
2018-01-31,54.00,56.56,53.88,55.94,17.123,5.740,2.243
2018-02-01,56.28,56.36,54.05,55.58,17.013,5.703,2.229
2018-02-02,55.01,55.88,54.20,55.49,16.986,5.694,2.225
2018-02-05,54.75,55.49,52.65,54.05,16.545,5.546,2.167
2018-02-06,52.19,53.86,51.70,53.42,16.352,5.482,2.142
2018-02-07,54.45,54.89,50.10,50.28,15.391,5.160,2.016
2018-02-08,50.30,51.86,49.15,51.00,15.611,5.233,2.045
2018-02-09,49.10,49.89,48.18,49.45,15.137,5.074,1.983
2018-02-12,49.69,51.86,49.58,51.51,15.767,5.286,2.066
2018-02-13,52.10,53.70,52.10,52.40,16.040,5.377,2.101
2018-02-14,52.51,54.38,52.51,54.24,16.603,5.566,2.175
2018-02-22,55.23,55.80,54.55,54.99,16.833,5.643,2.205
2018-02-23,55.00,55.24,53.87,54.06,16.548,5.547,2.168
2018-02-26,54.78,54.90,53.64,54.65,16.729,5.608,2.191
2018-02-27,54.65,54.65,51.83,52.01,15.920,5.337,2.086
2018-02-28,51.09,52.51,50.45,51.69,15.822,5.304,2.073
2018-03-01,51.35,52.26,51.01,51.58,15.789,5.293,2.068
2018-03-02,51.05,52.69,50.78,52.48,16.064,5.385,2.104
2018-03-05,52.47,52.64,51.32,51.63,15.804,5.298,2.070
2018-03-06,51.93,51.96,50.51,51.87,15.878,5.323,2.080
2018-03-07,51.87,52.49,51.36,51.72,15.832,5.307,2.074
2018-03-08,51.52,53.30,51.21,53.16,16.272,5.455,2.132
2018-03-09,53.17,53.56,52.62,53.04,16.236,5.443,2.127
2018-03-12,53.35,53.95,52.30,53.29,16.312,5.468,2.137
2018-03-13,53.19,53.70,52.64,53.00,16.223,5.439,2.125
2018-03-14,52.59,52.91,52.01,52.18,15.972,5.354,2.092
2018-03-15,52.00,53.86,51.93,53.80,16.468,5.521,2.157
2018-03-16,53.78,53.85,53.23,53.42,16.352,5.482,2.142
2018-03-19,53.32,53.35,52.50,52.93,16.202,5.431,2.122
2018-03-20,52.60,52.66,51.70,52.20,15.979,5.357,2.093
2018-03-21,52.25,52.61,51.68,51.70,15.826,5.305,2.073
2018-03-22,51.70,51.95,49.80,49.90,15.275,5.121,2.001
2018-03-23,47.90,49.20,46.41,48.88,14.962,5.016,1.960
2018-03-26,48.10,48.50,47.28,48.13,14.733,4.939,1.930
2018-03-27,48.86,49.25,47.02,47.44,14.522,4.868,1.902
2018-03-28,47.00,47.00,45.01,45.51,13.931,4.670,1.825
2018-03-29,45.73,47.50,44.53,47.10,14.417,4.833,1.889
2018-03-30,46.99,47.70,46.70,46.90,14.356,4.813,1.881
2018-04-02,46.63,47.56,45.84,45.97,14.072,4.717,1.843
2018-04-03,45.50,46.48,45.13,46.12,14.117,4.733,1.849
2018-04-04,46.30,47.45,45.93,46.80,14.326,4.802,1.877
2018-04-09,46.65,46.98,45.42,45.72,13.995,4.692,1.833
2018-04-10,45.90,47.68,45.90,47.68,14.595,4.893,1.912
2018-04-11,48.00,48.86,47.98,48.12,14.730,4.938,1.930
2018-04-12,48.13,48.40,47.60,47.80,14.632,4.905,1.917
2018-04-13,48.18,48.55,47.12,47.45,14.525,4.869,1.903
2018-04-16,47.45,47.75,45.76,46.19,14.139,4.740,1.852
2018-04-17,46.14,46.47,45.20,45.29,13.863,4.647,1.816
2018-04-18,45.88,46.05,44.75,45.35,13.882,4.654,1.819
2018-04-19,45.62,47.66,45.36,47.60,14.571,4.885,1.909
2018-04-20,47.83,49.30,47.59,47.85,14.647,4.910,1.919
2018-04-23,48.09,49.76,48.09,49.72,15.219,5.102,1.994
2018-04-24,50.09,51.06,49.80,50.19,15.363,5.150,2.013
2018-04-25,50.00,50.94,49.72,50.07,15.327,5.138,2.008
2018-04-26,45.12,47.22,45.06,45.58,12.240,4.180,1.828
2018-04-27,46.30,46.40,44.08,44.08,11.063,3.739,1.768
2018-05-02,44.23,45.51,44.22,45.20,11.344,3.834,1.813
2018-05-03,45.16,45.89,44.58,45.79,11.493,3.884,1.836
2018-05-04,45.79,46.87,45.70,45.88,11.515,3.892,1.840
2018-05-07,46.19,46.85,45.36,46.72,11.726,3.963,1.873
2018-05-08,46.77,48.20,46.76,48.00,12.047,4.072,1.925
2018-05-09,48.12,48.25,47.58,48.20,12.097,4.088,1.933
2018-05-10,48.34,48.62,47.71,48.21,12.100,4.089,1.933
2018-05-11,48.40,48.49,47.20,47.50,11.922,4.029,1.905
2018-05-14,47.98,48.69,47.83,48.58,12.193,4.121,1.948
2018-05-15,48.75,48.75,48.03,48.35,12.135,4.101,1.939
2018-05-16,48.06,48.27,47.80,47.88,12.017,4.061,1.920
2018-05-17,48.23,48.43,47.70,47.75,11.984,4.050,1.915
2018-05-18,47.65,48.35,47.23,48.27,12.115,4.094,1.936
2018-05-21,48.40,48.50,47.73,47.94,12.032,4.066,1.922
2018-05-22,47.78,47.78,46.33,46.80,11.746,3.970,1.877
2018-05-23,46.72,46.72,46.10,46.22,11.600,3.921,1.853
2018-05-24,46.22,46.40,45.54,45.61,11.447,3.869,1.829
2018-05-25,45.61,46.09,45.50,45.74,11.480,3.880,1.834
2018-05-28,45.81,46.82,45.57,46.63,11.703,3.955,1.870
2018-05-29,46.69,46.79,45.97,46.07,11.563,3.908,1.847
2018-05-30,45.48,45.86,44.60,45.33,11.377,3.845,1.818
2018-05-31,45.85,47.84,45.54,47.50,11.922,4.029,1.905
2018-06-01,47.30,47.30,46.26,46.58,11.691,3.951,1.868
2018-06-04,47.00,48.31,46.99,47.81,12.000,4.055,1.917
2018-06-05,48.00,48.84,47.93,48.55,12.185,4.118,1.947
2018-06-06,48.55,48.80,48.15,48.41,12.150,4.106,1.941
2018-06-07,48.75,48.86,47.92,47.98,12.042,4.070,1.924
2018-06-08,47.95,48.73,47.75,48.15,12.085,4.084,1.931
2018-06-11,48.70,49.48,48.23,48.93,12.281,4.150,1.962
2018-06-12,49.16,50.58,48.95,50.40,12.650,4.275,2.021
2018-06-13,50.20,50.76,49.75,49.88,12.519,4.231,2.000
2018-06-14,49.93,50.23,48.65,48.94,12.283,4.151,1.962
2018-06-15,49.02,49.55,48.60,49.01,12.301,4.157,1.965
2018-06-19,48.02,48.50,46.73,47.33,11.879,4.015,1.898
2018-06-20,47.22,48.19,46.88,47.88,12.017,4.061,1.920
2018-06-21,47.89,48.84,47.66,47.86,12.012,4.060,1.919
2018-06-22,47.50,48.11,46.86,48.06,12.062,4.077,1.927
2018-06-25,48.25,48.99,47.55,47.76,11.987,4.051,1.915
2018-06-26,47.10,47.76,46.62,47.30,11.872,4.012,1.897
2018-06-27,47.36,47.70,45.18,45.47,11.412,3.857,1.823
2018-06-28,44.90,45.92,44.71,45.18,11.339,3.832,1.812
