date,open,high,low,close,PE,PB,PS
2018/1/2,69.42,69.85,68.2,68.67,64.735,13.406,13.981
2018/1/3,68.69,70,68.6,68.83,64.885,13.438,14.014
2018/1/4,69.12,70.69,68.83,70.57,66.526,13.777,14.368
2018/1/5,71.55,71.78,69.88,70.32,66.29,13.728,14.317
2018/1/8,70.41,71.35,69.9,71.26,67.176,13.912,14.508
2018/1/9,71.69,75.19,71.07,74.7,70.419,14.583,15.209
2018/1/10,74.6,75.66,74,74.9,70.608,14.623,15.249
2018/1/11,74.6,75.18,73.77,74.27,70.014,14.5,15.121
2018/1/12,74.27,75,73.96,74.61,70.334,14.566,15.19
2018/1/15,74.4,76,73.61,74.49,70.221,14.542,15.166
2018/1/16,74.19,76.99,73.86,75.1,70.796,14.662,15.29
2018/1/17,75.59,75.67,73.24,73.54,69.326,14.357,14.972
2018/1/18,73.7,74.97,71.93,72.8,68.628,14.213,14.905
2018/1/19,72.88,74.77,72.05,74.36,70.099,14.517,15.224
2018/1/22,74.36,76.48,74.19,76.39,72.415,14.472,15.64
2018/1/23,76.3,77.98,75.51,76.69,72.7,14.528,15.701
2018/1/24,76.83,78.4,76.32,78.07,74.008,14.79,15.984
2018/1/25,78.68,78.75,75.47,76.06,72.102,14.409,15.572
2018/1/26,76.08,77.76,75.75,77.15,73.136,15.146,15.795
2018/1/29,77.51,78,72.9,73.24,69.429,14.378,14.995
2018/1/30,73.24,74.82,73.05,74.1,70.244,14.547,15.171
2018/1/31,73.99,75.9,73.9,75.69,71.752,14.339,15.496
2018/2/1,76.19,76.9,73.2,74.23,70.368,14.062,15.198
2018/2/2,74.81,75.99,73.71,74.28,70.415,14.072,15.208
2018/2/5,73.45,73.66,71.7,73.37,69.552,13.9,15.021
2018/2/6,71.49,71.49,67.18,69.01,65.419,13.074,14.129
2018/2/7,71.08,71.2,67.08,67.69,64.168,12.823,13.859
2018/2/8,67.97,69.89,67.78,69.11,65.514,13.092,14.149
2018/2/9,66.7,68.87,66.12,67.56,64.045,12.799,13.832
2018/2/12,67.89,71.4,67.85,70.97,67.277,13.445,14.53
2018/2/13,71.57,72.99,70.97,71.23,67.524,13.494,14.583
2018/2/14,71.7,72.42,71.3,71.93,68.187,13.627,14.727
2018/2/22,72,73.18,70.97,72.47,68.699,13.729,14.837
2018/2/23,72.98,74.88,72.43,73.28,69.467,13.882,15.003
2018/2/26,73.5,75,72.55,74.76,70.87,14.163,15.306
2018/2/27,75.02,75.5,73.61,73.67,69.837,13.956,15.083
2018/2/28,73.5,74.3,72.37,72.48,68.709,13.731,14.839
2018/3/1,72.3,74.28,72.2,74.19,70.33,14.055,15.189
2018/3/2,73.85,74.5,73.54,73.77,69.932,13.975,15.103
2018/3/5,73.8,74.72,73.11,74.47,70.595,14.108,15.247
2018/3/6,74.44,76.76,74.41,76.19,72.226,14.434,15.599
2018/3/7,75.89,76.66,75.15,75.4,71.477,14.284,15.437
2018/3/8,76.35,78.98,75.82,78.26,74.188,14.826,16.023
2018/3/9,78.26,79.57,77.7,79.39,75.259,15.04,16.254
2018/3/12,80,80.49,79.05,79.97,75.809,15.15,16.373
2018/3/13,79.67,80.2,78.5,78.81,74.709,14.93,16.135
2018/3/14,78.65,80.25,78.32,79.91,75.752,15.138,16.36
2018/3/15,79.57,83,79.5,82.69,78.387,15.665,16.93
2018/3/16,82.2,83.33,81.66,81.95,77.686,15.525,16.778
2018/3/19,82.21,86.39,81.58,86.35,81.857,16.358,17.679
2018/3/20,85.63,88.86,85.51,87.49,82.938,16.574,17.912
2018/3/21,87.8,89.19,86,86.51,82.009,16.389,17.712
2018/3/22,86,87.35,84.77,85.89,81.421,16.271,17.585
2018/3/23,83.33,85.88,82,84.62,80.217,16.031,17.325
2018/3/26,84.61,89.23,84.6,87.34,82.796,16.546,17.882
2018/3/27,88.89,89,85.05,86.71,82.198,16.427,17.753
2018/3/28,86.1,87.53,83,83.25,78.918,15.771,17.044
2018/3/29,84,84.47,79,82.8,78.492,15.686,16.952
2018/3/30,82.77,87.08,82.74,87.01,82.483,16.484,17.814
2018/4/2,87.01,87.89,84.6,84.87,80.454,16.078,17.376
2018/4/3,83.67,85,82.3,84.86,80.445,16.076,17.374
2018/4/4,86.4,86.71,83.79,84.11,79.734,15.934,17.22
2018/4/9,83.8,84.38,82.15,82.61,78.312,15.65,16.913
2018/4/10,83.05,84.73,82.83,84.36,79.971,15.981,17.272
2018/4/11,84.44,86.13,84,85.06,80.634,16.114,17.415
2018/4/12,85.21,86.44,84.21,85.73,81.269,16.241,17.552
2018/4/13,85.8,86.19,81,81.08,76.861,15.36,16.6
2018/4/16,81.65,83.79,80.1,83.29,73.347,15.352,17.052
2018/4/17,83.26,83.73,79.83,80.87,71.216,14.906,16.557
2018/4/18,81.5,82.49,79.99,82.04,72.246,15.122,16.797
2018/4/19,82.2,83.2,81.6,83.03,73.118,15.304,16.999
2018/4/20,83.03,86.15,82.8,84.03,73.999,15.489,17.204
2018/4/23,83.97,85,83.15,84.29,74.228,15.537,17.257
2018/4/24,84.6,86.21,84.01,84.75,74.633,15.621,17.351
2018/4/25,84.54,87.58,84.36,87.46,77.019,16.121,17.906
2018/4/26,87.69,87.69,83.38,83.77,73.77,15.441,17.151
2018/4/27,83,85.19,81.02,83.48,70.498,14.422,17.091
2018/5/2,83.99,84.9,81,81.93,69.189,14.154,16.774
2018/5/3,81.98,83.45,80.1,82.89,70,14.32,16.971
2018/5/4,82.84,83.72,81.81,82.44,69.62,14.243,16.878
2018/5/7,82.68,84.55,82.51,84.51,71.368,14.6,17.302
2018/5/8,84.93,86.05,84.2,85.56,72.255,14.782,17.517
2018/5/9,85.56,86.4,84.68,85.86,72.508,14.833,17.579
2018/5/10,86.82,92.6,86.06,91.59,77.347,15.823,18.752
2018/5/11,91.66,95.6,88.81,89.48,75.565,15.459,18.32
2018/5/14,90,91.49,88.47,91.14,76.967,15.746,18.66
2018/5/15,91.35,93.22,90.59,92.43,78.057,15.968,18.924
2018/5/16,91.8,93.17,91.38,91.62,77.373,15.828,18.758
2018/5/17,91.3,91.56,89.18,89.93,75.945,15.537,18.412
2018/5/18,89.98,92.3,89.22,92.26,77.913,15.939,18.889
2018/5/21,92.8,92.87,91,91.78,77.508,15.856,18.791
2018/5/22,91.72,95.22,91.2,95.14,80.345,16.437,19.479
2018/5/23,94.81,96.43,94.23,94.66,79.94,16.354,19.38
2018/5/24,93,95,93,94.09,79.459,16.255,19.264
2018/5/25,94.3,98.85,93.95,97.37,82.228,16.822,19.935
2018/5/28,98.25,101.5,96.68,101.26,85.514,17.494,20.732
2018/5/29,100.25,102.87,93.16,95.42,80.582,16.485,19.536
2018/5/30,71.55,76.4,70.4,74.52,81.811,17.121,19.834
2018/5/31,74.51,76.22,73.35,76.13,83.579,17.491,20.262
2018/6/1,76.14,76.8,72.7,74.01,81.251,17.004,19.698
2018/6/4,74.59,76.23,73.1,75.74,83.151,17.401,20.159
2018/6/5,76.16,81.99,75.53,80.15,87.992,18.415,21.332
2018/6/6,80.59,83.1,79.7,82.41,90.473,18.934,21.934
2018/6/7,82.45,83.29,81.36,82.01,90.034,18.842,21.827
2018/6/8,81.4,82.62,81.03,81.15,89.09,18.644,21.599
2018/6/11,81.09,81.1,76.34,78.02,85.654,17.925,20.766
2018/6/12,78.15,78.77,77.17,78.66,86.356,18.072,20.936
2018/6/13,78,78.24,75.96,77.03,84.567,17.698,20.502
2018/6/14,77,77.97,75.98,76.29,83.754,17.528,20.305
2018/6/15,76.01,76.98,75.08,75.95,83.381,17.45,20.215
2018/6/19,75.7,77.62,73.5,74.99,82.327,17.229,19.959
2018/6/20,75,79.14,73.6,78.94,86.664,18.137,21.01
2018/6/21,78.94,79.92,77.18,78.19,85.84,17.964,20.811
2018/6/22,77.1,79.29,76.2,78.97,86.697,18.143,21.018
2018/6/25,79.16,81.28,78.6,79.62,87.41,18.293,21.191
2018/6/26,79.01,80.79,77.57,79.75,87.553,18.323,21.226
2018/6/27,79.97,80.05,76,76.45,83.93,17.564,20.348
