date,open,high,low,close,PE,PB,PS
2017/1/3,5.75,5.83,5.75,5.81,6.433,0.776,2.234
2017/1/4,5.8,5.85,5.78,5.82,6.445,0.777,2.238
2017/1/5,5.82,5.83,5.79,5.8,6.422,0.775,2.23
2017/1/6,5.8,5.8,5.76,5.78,6.4,0.772,2.223
2017/1/9,5.79,5.81,5.77,5.79,6.411,0.773,2.226
2017/1/10,5.79,5.81,5.77,5.79,6.411,0.773,2.226
2017/1/11,5.8,5.82,5.78,5.79,6.411,0.773,2.226
2017/1/12,5.79,5.82,5.78,5.79,6.411,0.773,2.226
2017/1/13,5.8,5.87,5.78,5.84,6.467,0.78,2.246
2017/1/16,5.84,5.96,5.82,5.92,6.555,0.791,2.276
2017/1/17,5.9,5.95,5.88,5.9,6.533,0.788,2.269
2017/1/18,5.91,5.93,5.89,5.93,6.566,0.792,2.28
2017/1/19,5.92,6,5.9,5.94,6.577,0.793,2.284
2017/1/20,5.94,6.01,5.9,5.97,6.611,0.797,2.296
2017/1/23,5.98,6,5.9,5.93,6.566,0.792,2.28
2017/1/24,5.94,6,5.93,5.98,6.622,0.799,2.299
2017/1/25,5.97,6,5.95,5.98,6.622,0.799,2.299
2017/1/26,5.99,6.07,5.98,6.02,6.666,0.804,2.315
2017/2/3,6.04,6.04,5.96,5.97,6.611,0.797,2.296
2017/2/6,5.98,6.02,5.96,5.98,6.622,0.799,2.299
2017/2/7,5.98,6,5.93,5.95,6.588,0.795,2.288
2017/2/8,5.95,5.97,5.93,5.96,6.6,0.796,2.292
2017/2/9,5.96,6.02,5.96,6.01,6.655,0.803,2.311
2017/2/10,6.01,6.04,6,6.03,6.677,0.805,2.319
2017/2/13,6.04,6.09,6.04,6.06,6.71,0.809,2.33
2017/2/14,6.06,6.07,6.03,6.06,6.71,0.809,2.33
2017/2/15,6.06,6.16,6.05,6.13,6.788,0.819,2.357
2017/2/16,6.16,6.2,6.12,6.16,6.821,0.823,2.369
2017/2/17,6.17,6.21,6.12,6.12,6.777,0.818,2.353
2017/2/20,6.12,6.32,6.11,6.24,6.91,0.834,2.399
2017/2/21,6.25,6.43,6.25,6.3,6.976,0.842,2.423
2017/2/22,6.31,6.37,6.26,6.35,7.031,0.848,2.442
2017/2/23,6.35,6.42,6.31,6.37,7.054,0.851,2.449
2017/2/24,6.36,6.37,6.19,6.28,6.954,0.839,2.415
2017/2/27,6.27,6.29,6.22,6.26,6.932,0.836,2.407
2017/2/28,6.25,6.32,6.23,6.23,6.899,0.832,2.396
2017/3/1,6.24,6.39,6.23,6.3,6.976,0.842,2.423
2017/3/2,6.32,6.41,6.28,6.3,6.976,0.842,2.423
2017/3/3,6.27,6.32,6.23,6.24,6.91,0.834,2.399
2017/3/6,6.23,6.26,6.17,6.18,6.843,0.826,2.376
2017/3/7,6.19,6.24,6.18,6.22,6.887,0.831,2.392
2017/3/8,6.21,6.26,6.21,6.23,6.899,0.832,2.396
2017/3/9,6.21,6.23,6.16,6.18,6.843,0.826,2.376
2017/3/10,6.17,6.21,6.13,6.16,6.821,0.823,2.369
2017/3/13,6.16,6.23,6.13,6.22,6.887,0.831,2.392
2017/3/14,6.22,6.26,6.2,6.22,6.887,0.831,2.392
2017/3/15,6.2,6.22,6.16,6.2,6.865,0.828,2.384
2017/3/16,6.2,6.26,6.19,6.2,6.865,0.828,2.384
2017/3/17,6.22,6.24,6.12,6.16,6.821,0.823,2.369
2017/3/20,6.16,6.2,6.15,6.17,6.832,0.824,2.373
2017/3/21,6.17,6.19,6.14,6.15,6.81,0.822,2.365
2017/3/22,6.14,6.14,6.02,6.04,6.688,0.807,2.323
2017/3/23,6.05,6.11,6.04,6.07,6.721,0.811,2.334
2017/3/24,6.08,6.15,6.04,6.1,6.755,0.815,2.346
2017/3/27,6.09,6.19,6.09,6.18,6.843,0.826,2.376
2017/3/28,6.2,6.22,6.17,6.18,6.843,0.826,2.376
2017/3/29,6.19,6.21,6.13,6.15,6.795,0.802,2.365
