date,open,high,low,close,PE,PB,PS
2018/1/2,49.98,50.19,49.03,49.31,27.603,9.074,18.805
2018/1/3,49.39,50.24,49.2,50.09,28.04,9.218,19.102
2018/1/4,50.08,50.08,49.61,49.89,27.928,9.181,19.026
2018/1/5,49.88,51.82,49.83,51.24,28.684,9.429,19.541
2018/1/8,50.9,53.28,50.3,52.05,29.137,9.578,19.85
2018/1/9,51.9,51.9,51.14,51.36,28.751,9.451,19.587
2018/1/10,51.49,52.8,51.22,51.69,28.935,9.512,19.712
2018/1/11,51.58,54.09,50.9,53.58,29.993,9.86,20.433
2018/1/12,53,53.2,52.03,52.14,29.187,9.595,19.884
2018/1/15,51.75,51.91,49.5,49.9,27.933,9.183,19.03
2018/1/16,49.9,50.28,49.8,50.25,28.129,9.247,19.163
2018/1/17,50.26,53.1,50.02,51.74,28.963,9.521,19.731
2018/1/18,51.3,52.73,51.11,51.44,28.796,9.466,19.617
2018/1/19,51.5,53.86,51.4,52.87,29.596,9.729,20.162
2018/1/22,52.54,58.16,52.54,58.16,32.557,10.703,22.18
2018/1/23,57.01,58.49,56.49,58.27,32.619,10.723,22.222
2018/1/24,58.56,64,58.2,62.13,34.78,11.433,23.694
2018/1/25,61,63.9,60.38,60.46,33.845,11.126,23.057
2018/1/26,60.63,61.98,60,60.89,34.086,11.205,23.221
2018/1/29,60.9,61.45,59.2,61,34.147,11.225,23.263
2018/1/30,60.99,62.22,59.9,60.68,33.968,11.166,23.141
2018/1/31,59,59,54.62,54.73,30.637,10.071,20.872
2018/2/1,55.44,56.33,53.64,55.01,30.794,10.123,20.979
2018/2/2,54.25,57.28,54.25,55.67,31.163,10.244,21.23
2018/2/5,54,55.6,53.86,54.81,30.682,10.086,20.902
2018/2/6,52.9,54.6,50.16,50.8,28.437,9.348,19.373
2018/2/7,52.32,53.95,50.5,52.42,29.344,9.646,19.991
2018/2/8,48,49.9,47.66,48.73,27.278,8.967,18.584
2018/2/9,47.64,47.64,44.71,45.55,25.498,8.382,17.371
2018/2/12,45.56,47.21,44.95,46.38,25.963,8.535,17.687
2018/2/13,46.79,47.3,46,46.11,25.812,8.485,17.584
2018/2/14,45.81,46.43,45.7,46.14,25.829,8.491,17.596
2018/2/22,46.95,48.4,46.26,47.85,35.579,8.124,18.248
2018/2/23,47.8,48.27,47.08,47.6,35.393,8.081,18.153
2018/2/26,48.21,50.18,48,49.9,37.103,8.472,19.03
2018/2/27,50,50.4,48.82,49.4,36.731,8.387,18.839
2018/2/28,47.65,49.67,47.1,48.51,35.939,8.229,18.5
2018/3/1,48.48,50.94,48.1,50.8,37.635,8.617,19.373
2018/3/2,50.3,51.5,49.8,49.97,37.02,8.477,19.056
2018/3/5,50.2,51.4,49.82,51.36,38.05,8.712,19.587
2018/3/6,51.4,52.3,51.01,51.46,38.124,8.729,19.625
2018/3/7,51.2,51.5,50.64,50.64,37.517,8.59,19.312
2018/3/8,50.24,51.06,50.05,50.3,37.265,8.533,19.182
2018/3/9,50.13,53.16,50.13,53.09,39.332,9.006,20.246
2018/3/12,53.56,54.59,52.56,53.27,39.465,9.036,20.315
